Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
HALCROW-H,,-2658.913428322916,C1,39.37,40.94,41.0,61.03,-2658.4950971,-2658.49415289,0.07424376,-2658.56839665,172266.352,3111.0,1145.0,
HALCROW-X-Br,,-7805.427871350013,C1,22.44,22.45,39.66,60.32,-7805.02708188,-7805.02613767,0.08221203,-7805.1083497,215600.304,3067.2,1229.0,
HALCROW-X-cisCHCHC6H4CN4,,-3459.678741323985,C1,8.42,9.99,15.0,20.13,-3459.01580538,-3459.01486117,0.1115855,-3459.12644667,1162188.304,2924.1,1825.0,
HALCROW-X-cisCHCHC6H4NO24,,-3684.105249155058,C1,8.14,9.76,19.38,20.32,-3683.43271133,-3683.43176713,0.11467051,-3683.54643764,1172979.92,2920.4,1887.0,
HALCROW-X-cisCHCHPh,,-3275.328939371877,C1,9.65,12.65,19.62,21.46,-3274.66722996,-3274.66628575,0.10400022,-3274.77028598,428125.984,2985.2,1713.0,
HALCROW-X-Cl,,-3577.839826873551,C1,26.09,26.1,39.25,60.39,-3577.43845445,-3577.43751024,0.08020535,-3577.51771559,190254.112,3076.6,1207.0,
HALCROW-X-CO2H,,-3035.835547395901,C1,23.53,24.22,26.38,28.58,-3035.38201493,-3035.38107072,0.08713151,-3035.46820223,240076.112,3066.7,1331.0,
HALCROW-X-I,,-3253.148001893037,C1,19.4,19.43,39.68,60.66,-3252.74792754,-3252.74698333,0.08378405,-3252.83076739,211499.104,3078.7,1233.0,
HALCROW-X-NH3,,-2769.588696288255,C1,31.56,31.61,39.13,59.47,-2769.13448616,-2769.13354195,0.08150815,-2769.2150501,228462.32,3092.4,1219.0,
HALCROW-X-OH,,-2809.292291790745,C1,31.56,31.58,38.76,60.04,-2808.86294905,-2808.86200484,0.07885521,-2808.94086006,261250.64,3074.4,1207.0,
HALCROW-X-OMe,,-2887.814119121164,C1,22.12,26.02,38.27,58.77,-2887.32554936,-2887.32460516,0.08543067,-2887.41003583,210017.584,3045.9,1293.0,
HALCROW-X-SMe,,-3533.616753286171,C1,18.16,24.42,38.6,59.0,-3533.13484037,-3533.13389616,0.08853377,-3533.22242993,280715.12,3055.4,1305.0,
HALCROW-X-SOMe,,-3683.914461718166,C1,17.96,18.93,33.04,36.82,-3683.42332964,-3683.42238543,0.09246,-3683.51484544,328084.352,3030.0,1367.0,
HALCROW-Y-CH2OH,,-3116.734256883475,C1,-52.16,-51.3,22.15,27.41,-3116.17549476,-3116.17455055,0.09573957,-3116.27029013,427360.416,3012.9,1441.0,
HALCROW-Y-CO2Et,,-3726.960783170165,C1,13.06,16.51,16.51,29.09,-3726.23400517,-3726.23306096,0.12272651,-3726.35578747,554441.472,2956.1,1861.0,
HALCROW-Y-I,,-3847.378119884158,C1,12.21,15.9,15.91,33.57,-3846.99480424,-3846.99386003,0.0925831,-3847.08644312,236694.576,3036.1,1321.0,
HALCROW-Y-tBu,,-3287.392557423331,C1,15.61,18.11,18.14,20.73,-3286.50549551,-3286.50455131,0.11974655,-3286.62429786,601763.776,2933.8,1833.0,
BAXFIS02,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HPZBFE,,,,,,,,,,,,,,,ORCA6 .OUT file not made
NEFSUM02,,,,,,,,,,,,,,,ORCA6 .OUT file not made
SAKWIM,,,,,,,,,,,,,,,ORCA6 .OUT file not made
KEKVIF03,,,,,,,,,,,,,,,ORCA6 .OUT file not made
ZUCROE,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-NMe2,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-Y-Br,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-CH2SCN,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-F,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-SH,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-NO2,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-Y-Cl,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-pz,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-Me,,,,,,,,,,,,,,,ORCA6 .OUT file not made
RUWZUF,,,,,,,,,,,,,,,ORCA6 .OUT file not made
CAGROU,,,,,,,,,,,,,,,ORCA6 .OUT file not made
FEGVOE01,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-Y-Me,,,,,,,,,,,,,,,ORCA6 .OUT file not made
WAHKEX,,,,,,,,,,,,,,,ORCA6 .OUT file not made
HALCROW-X-SO2Me,,,,,,,,,,,,,,,ORCA6 .OUT file not made
BOYDOI,,,,,,,,,,,,,,,ORCA6 .OUT file not made
ERIWEK01,,,,,,,,,,,,,,,ORCA6 .OUT file not made
ERIWOU01,,,,,,,,,,,,,,,ORCA6 .OUT file not made
